epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
49,1899.11,0.03891,0.8401,1,0.90381,0.000289884,0.000289884,0.000289884
50,1938.16,0.03725,0.84518,1,0.88344,0.000281048,0.000281048,0.000281048
51,1975.22,0.0321,0.82741,1,0.89802,0.000272212,0.000272212,0.000272212
52,2012.37,0.04161,0.82487,1,0.93227,0.000263377,0.000263377,0.000263377
53,2049.94,0.04082,0.84264,1,0.9059,0.000254541,0.000254541,0.000254541
54,2090.05,0.04381,0.86041,1,0.86858,0.000245705,0.000245705,0.000245705
55,2132.19,0.04038,0.8401,1,0.93122,0.000236869,0.000236869,0.000236869
56,2169.02,0.04034,0.84264,1,0.91685,0.000228034,0.000228034,0.000228034
57,2208.44,0.03913,0.83503,1,0.89342,0.000219198,0.000219198,0.000219198
58,2246.56,0.03718,0.83756,1,0.89607,0.000210362,0.000210362,0.000210362
59,2282.98,0.02964,0.84264,1,0.90611,0.000201527,0.000201527,0.000201527
60,2320.82,0.03624,0.84772,1,0.87591,0.000192691,0.000192691,0.000192691
61,2359.78,0.03499,0.83249,1,0.90827,0.000183855,0.000183855,0.000183855
62,2398.55,0.03372,0.8198,1,0.9036,0.000175019,0.000175019,0.000175019
63,2441.64,0.03138,0.81726,1,0.91141,0.000166183,0.000166183,0.000166183
64,2478.7,0.03379,0.82995,1,0.92941,0.000157348,0.000157348,0.000157348
65,2516.38,0.03075,0.84518,1,0.88142,0.000148512,0.000148512,0.000148512
66,2555.09,0.03399,0.82995,1,0.89893,0.000139676,0.000139676,0.000139676
67,2592.28,0.03004,0.82234,1,0.88916,0.000130841,0.000130841,0.000130841
68,2629.68,0.02786,0.82234,1,0.91839,0.000122005,0.000122005,0.000122005
69,2667.28,0.03103,0.8198,1,0.91357,0.000113169,0.000113169,0.000113169
70,2706.61,0.02382,0.8198,1,0.9052,0.000104333,0.000104333,0.000104333
71,2748.91,0.02544,0.82995,1,0.89809,9.54975e-05,9.54975e-05,9.54975e-05
72,2789.91,0.03085,0.84264,1,0.90402,8.66618e-05,8.66618e-05,8.66618e-05
73,2829.03,0.03235,0.82995,1,0.92571,7.7826e-05,7.7826e-05,7.7826e-05
74,2866.4,0.0246,0.84264,1,0.89683,6.89903e-05,6.89903e-05,6.89903e-05
75,2903.5,0.02914,0.84264,1,0.90765,6.01545e-05,6.01545e-05,6.01545e-05
76,2941.21,0.02333,0.8401,1,0.91106,5.13187e-05,5.13187e-05,5.13187e-05
77,2979.9,0.02343,0.82234,1,0.90367,4.2483e-05,4.2483e-05,4.2483e-05
78,3019.05,0.02722,0.82234,1,0.91323,3.36472e-05,3.36472e-05,3.36472e-05
79,3056.79,0.02786,0.83503,1,0.91908,2.48115e-05,2.48115e-05,2.48115e-05
80,3100.89,0.02554,0.82234,1,0.91441,1.59757e-05,1.59757e-05,1.59757e-05
