epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
69,2750.87,0.06841,0.80964,1,1.51883,0.001634,0.001634,0.001634
70,2789.38,0.06268,0.81472,1,1.15315,0.0015845,0.0015845,0.0015845
71,2829.78,0.06649,0.84264,1,1.04992,0.001535,0.001535,0.001535
72,2868.36,0.06037,0.80457,1,1.45668,0.0014855,0.0014855,0.0014855
73,2907.2,0.06162,0.82487,1,1.33984,0.001436,0.001436,0.001436
74,2946.09,0.05994,0.84772,1,1.15876,0.0013865,0.0013865,0.0013865
75,2986.92,0.06366,0.80203,1,1.72245,0.001337,0.001337,0.001337
76,3030.49,0.05834,0.80711,1,1.58943,0.0012875,0.0012875,0.0012875
77,3068.54,0.06162,0.85025,1,0.99951,0.001238,0.001238,0.001238
78,3105.64,0.05446,0.82741,1,1.3457,0.0011885,0.0011885,0.0011885
79,3143.64,0.05877,0.82234,1,1.45619,0.001139,0.001139,0.001139
80,3185.29,0.06197,0.8198,1,1.50342,0.0010895,0.0010895,0.0010895
81,3224.44,0.05919,0.81472,1,1.33514,0.00104,0.00104,0.00104
82,3267.76,0.07359,0.81218,1,1.67746,0.0009905,0.0009905,0.0009905
83,3304.1,0.05156,0.8401,1,1.42515,0.000941,0.000941,0.000941
84,3342.26,0.04906,0.82995,1,1.39934,0.0008915,0.0008915,0.0008915
85,3383.24,0.0445,0.80457,1,1.52267,0.000842,0.000842,0.000842
86,3422.11,0.05286,0.8198,1,1.86314,0.0007925,0.0007925,0.0007925
87,3462.05,0.05185,0.79949,1,1.69713,0.000743,0.000743,0.000743
88,3501.16,0.04483,0.80203,1,1.55085,0.0006935,0.0006935,0.0006935
89,3539.99,0.03842,0.79695,1,1.96177,0.000644,0.000644,0.000644
90,3578.95,0.03543,0.82487,1,1.75286,0.0005945,0.0005945,0.0005945
91,3621.36,0.042,0.79442,1,1.6392,0.000545,0.000545,0.000545
92,3659.24,0.04877,0.81218,1,1.5293,0.0004955,0.0004955,0.0004955
93,3700.17,0.03966,0.81218,1,1.49707,0.000446,0.000446,0.000446
94,3738.17,0.04285,0.80457,1,1.51458,0.0003965,0.0003965,0.0003965
95,3776.47,0.03607,0.80711,1,1.43229,0.000347,0.000347,0.000347
96,3816.36,0.03996,0.81472,1,1.57896,0.0002975,0.0002975,0.0002975
97,3854.83,0.03311,0.80457,1,1.61593,0.000248,0.000248,0.000248
98,3893.96,0.03359,0.81218,1,1.89321,0.0001985,0.0001985,0.0001985
99,3934.55,0.03797,0.80457,1,1.72642,0.000149,0.000149,0.000149
100,3972.76,0.03852,0.81218,1,1.88246,9.95e-05,9.95e-05,9.95e-05
