epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5932,1.43727,3.64258,1.28465,0.00205,0.57712,0.22458,0.11923,1.22214,3.60788,1.12658,0.000541419,0.000541419,0.000541419
2,44.2062,1.30799,2.61474,1.16254,0.41588,0.19958,0.29265,0.17132,1.29004,2.80062,1.21318,0.00108622,0.00108622,0.00108622
3,61.0412,1.34029,2.36324,1.21034,0.44156,0.54053,0.40486,0.24353,1.28815,2.27102,1.23875,0.00162003,0.00162003,0.00162003
4,75.9577,1.26795,2.15852,1.1869,0.30921,0.30125,0.198,0.1003,1.45885,3.0397,1.53107,0.00161749,0.00161749,0.00161749
5,93.5645,1.22853,1.88838,1.17014,0.43539,0.60771,0.40697,0.25958,1.28931,2.37846,1.22684,0.00160099,0.00160099,0.00160099
6,113.842,1.27818,1.82929,1.18294,0.47078,0.71391,0.48195,0.31494,1.18931,1.53823,1.1349,0.00158448,0.00158448,0.00158448
7,136.423,1.26463,1.67877,1.16643,0.43129,0.86847,0.50067,0.32004,1.22492,1.40308,1.15142,0.00156798,0.00156798,0.00156798
8,154.103,1.18477,1.54577,1.1412,0.47034,0.79589,0.49695,0.32873,1.20398,1.29683,1.13072,0.00155148,0.00155148,0.00155148
9,170.601,1.19866,1.49503,1.14566,0.46472,0.8265,0.49462,0.32958,1.1454,1.30266,1.12623,0.00153497,0.00153497,0.00153497
10,189.188,1.16806,1.38643,1.12313,0.43758,0.79055,0.47761,0.29355,1.21389,1.31295,1.15175,0.00151847,0.00151847,0.00151847
11,206.033,1.16733,1.42957,1.12578,0.46642,0.85229,0.51783,0.34881,1.12598,1.2101,1.11339,0.00150197,0.00150197,0.00150197
12,220.237,1.18081,1.37976,1.11828,0.45181,0.85533,0.48928,0.33264,1.11193,1.22899,1.07377,0.00148546,0.00148546,0.00148546
13,238.408,1.13937,1.32123,1.09919,0.45759,0.67129,0.42836,0.29285,1.16567,1.58043,1.1313,0.00146896,0.00146896,0.00146896
14,257.271,1.14747,1.31031,1.11698,0.46368,0.84922,0.51061,0.35083,1.13865,1.1748,1.09667,0.00145246,0.00145246,0.00145246
15,272.878,1.12736,1.28834,1.11052,0.44929,0.83842,0.51745,0.33867,1.10152,1.21227,1.10906,0.00143595,0.00143595,0.00143595
16,289.39,1.10661,1.23304,1.10088,0.47414,0.80742,0.488,0.33639,1.17283,1.26621,1.11264,0.00141945,0.00141945,0.00141945
17,308.484,1.12767,1.24544,1.09746,0.47146,0.85857,0.50337,0.33834,1.15959,1.19035,1.11938,0.00140295,0.00140295,0.00140295
18,326.157,1.08592,1.23265,1.06942,0.47461,0.86267,0.51942,0.34707,1.15402,1.15535,1.1045,0.00138644,0.00138644,0.00138644
19,340.95,1.06528,1.19913,1.06666,0.47659,0.88888,0.52097,0.35681,1.10648,1.17765,1.07325,0.00136994,0.00136994,0.00136994
20,357.627,1.06992,1.22123,1.06708,0.47028,0.88398,0.51587,0.3644,1.06921,1.12027,1.05941,0.00135344,0.00135344,0.00135344
21,380.934,1.06051,1.18582,1.07038,0.46279,0.87738,0.52842,0.3534,1.14468,1.12379,1.09265,0.00133693,0.00133693,0.00133693
22,402.584,1.09131,1.18369,1.05737,0.46558,0.87233,0.51765,0.35204,1.09084,1.15245,1.09185,0.00132043,0.00132043,0.00132043
23,416.692,1.07842,1.15842,1.05893,0.48198,0.85463,0.55297,0.36584,1.14809,1.12098,1.09512,0.00130393,0.00130393,0.00130393
24,433.576,1.06476,1.1645,1.07698,0.46637,0.84177,0.54105,0.38988,1.09745,1.14086,1.06638,0.00128742,0.00128742,0.00128742
25,452.333,1.04302,1.1383,1.05798,0.47118,0.86559,0.54398,0.38891,1.06822,1.09873,1.07312,0.00127092,0.00127092,0.00127092
26,468.938,1.03155,1.16204,1.0657,0.4568,0.8713,0.52459,0.36645,1.06561,1.15062,1.06968,0.00125442,0.00125442,0.00125442
27,483.853,1.04034,1.14603,1.06402,0.48668,0.82182,0.54088,0.37929,1.10174,1.13313,1.09218,0.00123791,0.00123791,0.00123791
28,501.584,1.05154,1.12886,1.06474,0.4763,0.84254,0.54349,0.37251,1.10077,1.10858,1.08552,0.00122141,0.00122141,0.00122141
29,520.026,1.0558,1.14676,1.06876,0.46791,0.87189,0.52977,0.35311,1.13123,1.12107,1.10457,0.00120491,0.00120491,0.00120491
